歌手名,歌手地区,歌手id,歌手图片
朴树,,000mLAT42CFWNa,http://y.gtimg.cn/music/photo_new/T001R150x150M000000mLAT42CFWNa.webp
梁博,,003CNC9D00CaVx,http://y.gtimg.cn/music/photo_new/T001R150x150M000003CNC9D00CaVx.webp
周兴哲,,0022bqqN3dRfN4,http://y.gtimg.cn/music/photo_new/T001R150x150M0000022bqqN3dRfN4.webp
魏佳艺,,002fAf8s2nwDgu,http://y.gtimg.cn/music/photo_new/T001R150x150M000002fAf8s2nwDgu.webp
A-Lin,,003ArN8Z0WpjTz,http://y.gtimg.cn/music/photo_new/T001R150x150M000003ArN8Z0WpjTz.webp
汪峰,,001adLDR1SS40P,http://y.gtimg.cn/music/photo_new/T001R150x150M000001adLDR1SS40P.webp
张敬轩,,003AfDK34H82GU,http://y.gtimg.cn/music/photo_new/T001R150x150M000003AfDK34H82GU.webp
比莉,,004HZcui2e2Iej,http://y.gtimg.cn/music/photo_new/T001R150x150M000004HZcui2e2Iej.webp
杨丞琳,,000ZVS6E1f6f0d,http://y.gtimg.cn/music/photo_new/T001R150x150M000000ZVS6E1f6f0d.webp
儿歌,,002DYd0J2HmOvc,http://y.gtimg.cn/music/photo_new/T001R150x150M000002DYd0J2HmOvc.webp
鹿晗,,001SqkF53OEhdO,http://y.gtimg.cn/music/photo_new/T001R150x150M000001SqkF53OEhdO.webp
那英,,003LCFXH0eodXv,http://y.gtimg.cn/music/photo_new/T001R150x150M000003LCFXH0eodXv.webp
徐誉滕,,003j4QdP0tDL0D,http://y.gtimg.cn/music/photo_new/T001R150x150M000003j4QdP0tDL0D.webp
蒋蒋,,001ii8ME2uOv92,http://y.gtimg.cn/music/photo_new/T001R150x150M000001ii8ME2uOv92.webp
Maroon 5 (魔力红),,001JuGrt372YIQ,http://y.gtimg.cn/music/photo_new/T001R150x150M000001JuGrt372YIQ.webp
刘瑞琦,,003bQEFA3KrvLI,http://y.gtimg.cn/music/photo_new/T001R150x150M000003bQEFA3KrvLI.webp
Charlie Puth (查理·普斯),,000jnR7q3pCzYG,http://y.gtimg.cn/music/photo_new/T001R150x150M000000jnR7q3pCzYG.webp
英雄联盟 (League of Legends),,0000RHdG1ukDqy,http://y.gtimg.cn/music/photo_new/T001R150x150M0000000RHdG1ukDqy.webp
阿肆,,003VJ4nP0Q19xJ,http://y.gtimg.cn/music/photo_new/T001R150x150M000003VJ4nP0Q19xJ.webp
双笙,,001t94rh4OpQn0,http://y.gtimg.cn/music/photo_new/T001R150x150M000001t94rh4OpQn0.webp
潘玮柏,,000iM9BB2TXFqu,http://y.gtimg.cn/music/photo_new/T001R150x150M000000iM9BB2TXFqu.webp
降央卓玛,,001Ah7ZB0siso7,http://y.gtimg.cn/music/photo_new/T001R150x150M000001Ah7ZB0siso7.webp
于文文,,000poF8D027tPr,http://y.gtimg.cn/music/photo_new/T001R150x150M000000poF8D027tPr.webp
